case_id,relative_path,study_family,physical_case,case_label,inlet_speed_m_per_s,stiffness_class,A,beta,Ta_K,fuel_Hf_J_per_kg,mesh_name,Nx,Ny,cells,nprocs,x_left_cells,slot_cells,x_right_cells,status,node,solver_exit_code,openfoam_version,mpi_library,solver_wall_s,setup_wall_s,reconstruct_wall_s,total_case_wall_s,final_time,foam_execution_s,foam_clock_s,final_maxCo
FLOW_INTENSITY__BC3_HIGH_v020__M1_108x36__C4,cases/FLOW/BC3_HIGH_v020/M1_108x36/C4,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,4,49,10,49,complete,orfoz192,0,v2312,INTELMPI,418.613367296,0.272102144,0.675601152,419.795176192,2,412.78,414,0.05000109694
FLOW_INTENSITY__BC3_HIGH_v020__M1_108x36__C16,cases/FLOW/BC3_HIGH_v020/M1_108x36/C16,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,16,49,10,49,complete,orfoz192,0,v2312,INTELMPI,887.335120128,0.935947776,0.323435008,888.682983168,2,882.91,885,0.05000109692
FLOW_INTENSITY__BC3_HIGH_v020__M2_216x72__C1,cases/FLOW/BC3_HIGH_v020/M2_216x72/C1,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,1,98,20,98,complete,orfoz192,0,v2312,INTELMPI,3380.376180736,0.281933824,0.007244288,3381.275230720,2,3369.12,3376,0.049999685
FLOW_INTENSITY__BC3_HIGH_v020__M2_216x72__C2,cases/FLOW/BC3_HIGH_v020/M2_216x72/C2,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,2,98,20,98,complete,orfoz192,0,v2312,INTELMPI,2000.707051520,2.717521152,1.227711488,2004.762869248,2,1982.14,1989,0.04999968465
FLOW_INTENSITY__BC3_HIGH_v020__M2_216x72__C4,cases/FLOW/BC3_HIGH_v020/M2_216x72/C4,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,4,98,20,98,complete,orfoz192,0,v2312,INTELMPI,1421.671307008,0.718899712,0.170370560,1422.674924032,2,1413.83,1418,0.04999968462
FLOW_INTENSITY__BC3_HIGH_v020__M2_216x72__C16,cases/FLOW/BC3_HIGH_v020/M2_216x72/C16,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M2_216x72,216,72,15552,16,98,20,98,complete,orfoz192,0,v2312,INTELMPI,1968.586669312,0.583176448,3.873090816,1973.154811648,2,1943.18,1953,0.04999968476
FLOW_INTENSITY__BC3_HIGH_v020__M3_432x144__C1,cases/FLOW/BC3_HIGH_v020/M3_432x144/C1,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,1,196,40,196,complete,orfoz192,0,v2312,INTELMPI,26417.711755520,0.969293056,0.007055104,26418.877209600,2,26326.15,26410,0.0499996229
FLOW_INTENSITY__BC3_HIGH_v020__M3_432x144__C2,cases/FLOW/BC3_HIGH_v020/M3_432x144/C2,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,2,196,40,196,complete,orfoz192,0,v2312,INTELMPI,13629.262265856,3.801710848,2.570041344,13635.817355520,2,13564.82,13616,0.04999962161
FLOW_INTENSITY__BC3_HIGH_v020__M3_432x144__C4,cases/FLOW/BC3_HIGH_v020/M3_432x144/C4,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,4,196,40,196,complete,orfoz192,0,v2312,INTELMPI,7612.561764608,2.435603968,2.315020544,7617.499304192,2,7574.29,7601,0.04999962192
FLOW_INTENSITY__BC3_HIGH_v020__M3_432x144__C16,cases/FLOW/BC3_HIGH_v020/M3_432x144/C16,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,16,196,40,196,complete,orfoz192,0,v2312,INTELMPI,5069.304986624,2.335862016,3.397107712,5075.236170752,2,5029.14,5052,0.04999962011
FLOW_INTENSITY__BC3_HIGH_v020__M4_864x288__C1,cases/FLOW/BC3_HIGH_v020/M4_864x288/C1,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,1,392,80,392,complete,orfoz192,0,v2312,INTELMPI,236615.878843904,5.079220992,0.007239680,236621.306523136,2,235904.31,236597,0.04999988675
FLOW_INTENSITY__BC3_HIGH_v020__M4_864x288__C2,cases/FLOW/BC3_HIGH_v020/M4_864x288/C2,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,2,392,80,392,complete,orfoz274,0,v2312,INTELMPI,114150.304713472,8.465029888,1.314538496,114160.339722496,2,113804.08,114142,0.04999988672
FLOW_INTENSITY__BC3_HIGH_v020__M4_864x288__C4,cases/FLOW/BC3_HIGH_v020/M4_864x288/C4,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,4,392,80,392,complete,orfoz205,0,v2312,INTELMPI,56933.669361920,7.101007616,2.379371520,56943.449340416,2,56745.84,56924,0.04999988665
